RuleName;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;#OutPut::MesStatus;#OutPut::ClientStatus
rule 1-186;взяли;впридачу;пацаны;похоже;свое;твои;ошибка;1;
rule 1-187;гдето;подьезда;понимаю;рядом;твои;этого;ошибка;1;
rule 1-188;буду;замарачиваться;пакет;положи;рублей;;ошибка;1;
rule 1-189;будеш;если;спросиш;поймеш;терминала;чтото;ошибка;1;
rule 1-190;брал;вчера;зверобой;любой;наполнитель;ромашка;ошибка;1;
rule 1-192;закинеш;когда;;;;;ошибка;1;
rule 1-193;внимательно;всегда;паникуй;смотри;читай;;ошибка;1;
rule 1-194;клады;адрес;кину;молниеносно;отблагодари;сначала;ошибка;1;
rule 1-195;ложиш;нажать;неправильно;оплату;пришло;услуг;ошибка;1;
rule 1-196;кончинуй;пидор;;;;;ошибка;1;
rule 1-197;больше;брал;качество;количество;пробу;самое;ошибка;1;
rule 1-198;пробу;просил;;;;;ошибка;1;
rule 1-199;если;знать;надо;положил;пробу;просил;ошибка;1;
rule 1-200;есть;кроме;люди;тебя;устраиваеш;чекхарду;ошибка;1;
rule 1-201;дубу;какой;магазин;рухнул;совсем;;ошибка;1;
rule 1-202;вижу;всегда;мешаеш;писать;понимаю;спешиш;ошибка;1;
rule 1-203;будеш;времени;скоко;собрался;танцы;;ошибка;1;
rule 1-204;молчиш;филя;;;;;ошибка;1;
rule 1-205;есть;ищет;филя;;;;ошибка;1;
rule 1-206;нужны;работаю;такие;третий;филя;;ошибка;1;
rule 1-207;гляну;куда;ложил;переживай;;;ошибка;1;
rule 1-208;надо;штоли;;;;;ошибка;1;
rule 1-209;вообще;прет;;;;;ошибка;1;
rule 1-210;органика;бошки;такое;;;;ошибка;1;
rule 1-211;махра;органика;бошки;такое;;;ошибка;1;
rule 1-212;друг;какая;мутная;тебя;феня;;ошибка;1;
rule 1-213;филя;хотел;;;;;ошибка;1;
rule 1-214;городе;зашуганные;настороженные;пробу;просил;;ошибка;1;
rule 1-215;движ;сюда;туда;хоть;;;ошибка;1;
rule 4-142;уймись;хватит;;;;;на модерации;0;
rule 4-143;ровно;тебе;хули;экономически;;;на модерации;0;
rule 1-216;забрали;пласта;хуеплеты;чужое;;;ошибка;1;
rule 1-217;двигался;емана;никто;;;;ошибка;1;
rule 1-218;зеленым;туалетом;;;;;ошибка;1;
rule 1-219;калитки;права;;;;;ошибка;1;
rule 1-220;качество;толкает;швыра;;;;ошибка;1;
rule 1-221;делать;кладов;;;;;ошибка;1;
rule 4-144;сдохни;скорее;тошная;;;;на модерации;0;
rule 1-222;времени;надо;скоко;спешу;;;ошибка;1;
rule 1-223;времени;скоко;точно;;;;ошибка;1;
rule 1-224;возникла;ждать;необходимость;отлучиться;скоко;тебя;ошибка;1;
rule 1-225;плакатом;вывеской;рекламой;слева;снизу;;ошибка;1;
rule 1-226;вверху;стене;углубление;;;;ошибка;1;
rule 1-227;количество;сегодня;увеличил;;;;ошибка;1;
rule 1-228;емане;закладчиком;свяэался;токо;троицке;челике;ошибка;1;
rule 1-229;сп-500;;;;;;ошибка;1;
rule 1-230;1п-500;есть;киви;клады;пробы;спайс;ошибка;1;
rule 3-78;карты;списание;справка;успешно;;;ошибка;1;
rule 3-79;вашей;карты;списание;справка;успешно;;ошибка;1;
rule 3-80;вашей;карты;списание;успешно;;;ошибка;1;
rule 1-231;интерсвязи;межде;падик;спортивная;;;ошибка;1;
rule 1-232;лестницей;падик;слево;спортивная;углу;;ошибка;1;
rule 1-233;интерсвязи;падик;спортивная;этаж;;;ошибка;1;
rule 4-145;обидно;обострение;первые;признаки;ревности;смотри;на модерации;0;
rule 1-234;если;забрали;посмотрят;счас;твои;;ошибка;1;
rule 1-235;балланс;должен;кладов;работой;считай;телефон;ошибка;1;
rule 3-81;банк;почта;свяжитесь;срочно;;;ошибка;1;
rule 1-236;киви;комент;мегафон;придумай;доступно;терминал;ошибка;1;
rule 1-237;есть;мягкий;работаю;россыпь;;;ошибка;1;
rule 1-238;будет;докидывай;отдам;пробы;разобрали;;ошибка;1;
rule 1-239;белым;брусочком;вверху;падик;слева;;ошибка;1;
rule 1-240;забереш;отпишеш;падик;ящиком;;;ошибка;1;
rule 1-241;дальняя;камнем;ниша;падик;подвал;слево;ошибка;1;
rule 1-242;зеленым;отливом;слево;торца;;;ошибка;1;
rule 1-243;есть;легальный;микс;слабенький;такой;;ошибка;1;
rule 1-244;даймонд;есть;легального;микса;нелегал;пробник;ошибка;1;
rule 1-245;занимаюсь;этим;;;;;ошибка;1;
rule 1-246;пробу;тебе;;;;;ошибка;1;
rule 1-247;бесплатные;кидаю;кончались;ложи;обьясняю;пробы;ошибка;1;
rule 1-248;адреса;второго;клад;неработаю;нетуодного;6реально;ошибка;1;
rule 1-249;долгий;качество;мягкий;передохли;улучшать;чтоб;ошибка;1;
rule 1-250;магаз;полчаса;порой;теряйте;теряюсь;;ошибка;1;
rule 1-251;взял;вопрос;нету;ними;проверил;;ошибка;1;
rule 4-146;изнасилую;тебя;;;;;на модерации;0;
rule 1-252;завтра;нибудь;отключаюсь;помню;решим;счас;ошибка;1;
rule 1-253;завтра;надо;спать;счас;тока;шуми;ошибка;1;
